(PDH-CSV 4.0) (,\\jyseong\processor(_total)\% processor time,\\jyseong\logicaldisk(c:)\disk reads/sec,\\jyseong\logicaldisk(c:)\disk writes/sec,\\jyseong\logicaldisk(c:)\disk read bytes/sec,\\jyseong\logicaldisk(c:)\disk write bytes/sec,\\jyseong\mssql$hekaton:databases(confluence)\log bytes flushed/sec
06/10/2016 12:03:56.008,0.640570855,0,2.958869232,0,11614.54803,0
06/10/2016 12:03:57.022,2.050824762,0,18.73722087,0,81291.92583,0
06/10/2016 12:03:58.036,0.640560993,0,1.972456411,0,8079.181458,0
06/10/2016 12:03:59.050,0.832878206,0,2.958590716,0,12118.38757,0
06/10/2016 12:04:00.064,0.704653651,0,2.958696354,0,12118.82027,88871.34861
06/10/2016 12:04:01.078,0.832878206,0,1.972359667,0,8078.785196,0
06/10/2016 12:04:02.092,0.768765894,0,4.931146362,0,20197.9755,0
06/10/2016 12:04:03.106,1.025185557,0,1.972394522,0,8583.86096,0
06/10/2016 12:04:04.120,0.832878206,0,2.958558706,0,8583.764993,0
06/10/2016 12:04:05.134,0.768756108,0,4.931142805,0,20702.90995,0
06/10/2016 12:04:06.148,0.704673305,0,1.972366069,0,4544.331423,0
06/10/2016 12:04:07.162,1.858517411,0,2.958699555,0,8584.173643,0
06/10/2016 12:04:08.176,0.896970794,0,1.972399501,0,5049.342724,0
06/10/2016 12:04:09.190,0.704673305,0,1.972418708,0,5049.391892,0
06/10/2016 12:04:10.204,0.768765894,0,2.958578979,0,9088.754623,0
06/10/2016 12:04:11.218,0.832868426,0,1.972426533,0,5049.411924,0
06/10/2016 12:04:12.232,0.768765894,0,1.972416574,0,5049.386429,0
06/10/2016 12:04:13.246,1.73031251,0,1.972208879,0,5553.740205,0
06/10/2016 12:04:14.260,1.089288007,0,1.972619331,0,5554.896037,0
06/10/2016 12:04:15.274,1.089288007,0,1.972373182,0,5554.202881,88867.24609
06/10/2016 12:04:16.288,0.896961021,0,5.917288135,0,26256.97988,0
06/10/2016 12:04:17.302,2.499551776,0,1.972429378,0,6059.30305,0
06/10/2016 12:04:18.316,0.512356092,0,1.972385275,0,6059.167564,0
06/10/2016 12:04:19.330,0.961083107,0,5.917279599,0,22217.41247,0
06/10/2016 12:04:20.344,0.768775756,0,1.972408038,0,6059.237492,0
06/10/2016 12:04:21.358,1.281575761,0,4.93104677,0,22217.32433,0
06/10/2016 12:04:22.372,0.768775756,0,2.95862166,0,10603.70003,0
06/10/2016 12:04:23.386,0.896970794,0,2.958598185,0,10603.6159,0
06/10/2016 12:04:24.400,0.704673305,0,2.958634464,0,10603.74592,0
06/10/2016 12:04:25.414,0.961083107,0,1.972378873,0,6564.076888,0
06/10/2016 12:04:26.428,0.961063478,0,3.944874407,0,22722.47658,0
06/10/2016 12:04:27.442,1.73031251,0,1.972378873,0,7069.00588,0
06/10/2016 12:04:28.456,0.832878206,0,2.958538433,0,11108.32564,0
06/10/2016 12:04:29.470,0.640560993,0,1.972495538,0,7069.424007,0
06/10/2016 12:04:30.484,0.704673305,0,1.972415151,0,7069.135902,88869.13705
06/10/2016 12:04:31.498,0.832868344,0,2.95852563,0,11108.27756,0
06/10/2016 12:04:32.512,0.76876597,0,1.972487001,0,7574.350083,0
06/10/2016 12:04:33.526,0.704663443,0,2.958570443,0,11613.37518,0
06/10/2016 12:04:34.540,1.025185557,0,1.972452854,0,7574.218958,0
06/10/2016 12:04:35.554,4.422635147,0,4.931028986,0,14643.18368,0
06/10/2016 12:04:36.568,6.922640571,0,5.917260392,0,27771.67544,0
06/10/2016 12:04:37.582,5.127762606,0,1.972393811,0,8078.925049,0
06/10/2016 12:04:38.596,2.371337013,0,2.958575778,0,16157.76852,0
06/10/2016 12:04:39.610,0.896980656,0,2.957284205,0,9084.777078,0
06/10/2016 12:04:40.624,0.961073245,0,16.7733748,0,73755.489,0
06/10/2016 12:04:41.638,0.704673305,0,2.958577912,0,12118.33513,0
06/10/2016 12:04:42.652,0.961063478,0,1.972406615,0,8583.913588,0
06/10/2016 12:04:43.666,0.961083107,0,2.95858218,0,8583.833098,0
06/10/2016 12:04:44.680,1.025185557,0,1.97245072,0,4544.526458,0
06/10/2016 12:04:45.694,0.961073245,0,5.917115278,0,20702.01399,89877.03633
06/10/2016 12:04:46.708,1.217492908,0,4.931125021,0,20702.83529,0
06/10/2016 12:04:47.722,1.66621006,0,1.972346863,0,5049.20797,0
06/10/2016 12:04:48.736,2.050824964,0,2.958718763,0,9089.18404,0
06/10/2016 12:04:49.750,0.768765894,0,1.972407326,0,5049.362755,0
06/10/2016 12:04:50.765,1.089288007,0,2.957845063,0,17163.38895,0
06/10/2016 12:04:51.779,0.768765894,0,10.84999334,0,41411.46551,0
06/10/2016 12:04:52.793,0.704673305,0,4.93157501,0,16664.77827,0
06/10/2016 12:04:53.807,0.768756108,0,1.972373182,0,5554.202881,0
06/10/2016 12:04:54.821,0.704673305,0,1.972430801,0,5554.365136,0
06/10/2016 12:04:55.835,0.961073245,0,1.972405904,0,5554.295024,0
06/10/2016 12:04:56.849,1.217492908,0,6.903649725,0,33831.82859,0
06/10/2016 12:04:57.863,1.473902709,0,1.972375316,0,6059.136971,0
06/10/2016 12:04:58.877,0.896970883,0,1.972400924,0,6059.215639,0
06/10/2016 12:04:59.891,0.961073245,0,3.944807539,0,10603.64266,0
06/10/2016 12:05:00.905,1.025185557,0,11.83432872,0,31810.6756,88867.91913
06/10/2016 12:05:01.919,0.832868344,0,2.958496822,0,10098.33582,0
06/10/2016 12:05:02.933,1.602117472,0,1.972381718,0,6564.086357,0
06/10/2016 12:05:03.962,0.820239436,0,2.914011174,0,10443.81605,0
06/10/2016 12:05:05.007,0.870186025,0,2.870252914,0,10286.98644,0
06/10/2016 12:05:06.037,0.757108233,0,1.942531283,0,6464.74411,0
06/10/2016 12:05:07.082,1.305518101,0,4.783843567,0,25962.87581,0
06/10/2016 12:05:08.112,2.082873204,0,1.942341562,0,6961.352157,7955.831036
06/10/2016 12:05:09.141,12.56273056,0,1.942658935,0,6962.489623,0
06/10/2016 12:05:10.171,36.30020849,0,1.942511964,0,6961.96288,0
06/10/2016 12:05:11.216,11.00704189,0,1.913530732,0,6858.094142,0
06/10/2016 12:05:12.246,0.946511554,0,3.885048767,0,14918.58727,0
06/10/2016 12:05:13.275,0.883370639,0,1.942111876,0,7457.709603,0
06/10/2016 12:05:14.305,0.757117946,0,1.942894272,0,7460.714005,0
06/10/2016 12:05:15.335,1.577823582,0,1.942578202,0,7459.500295,89016.70352
06/10/2016 12:05:16.364,0.630855479,0,2.913607542,0,7956.090995,0
06/10/2016 12:05:17.394,1.325298771,0,5.827877439,0,27352.17144,0
06/10/2016 12:05:18.423,0.820249149,0,1.942268443,0,7955.531541,0
06/10/2016 12:05:19.453,0.883370639,0,1.942714831,0,7957.359947,0
06/10/2016 12:05:20.483,1.451561176,0,2.913930439,0,11935.45908,0
06/10/2016 12:05:21.512,1.514692379,0,1.942497476,0,7956.46966,0
06/10/2016 12:05:22.542,0.946511554,0,2.913628238,0,11934.22126,0
06/10/2016 12:05:23.571,0.883370639,0,6.799504324,0,24369.4235,0
06/10/2016 12:05:24.601,0.693986743,0,2.91368826,0,8453.58087,0
06/10/2016 12:05:25.631,1.135905163,0,1.942549222,0,4475.633408,0
06/10/2016 12:05:26.660,1.199026653,0,6.798557645,0,44256.66783,0
06/10/2016 12:05:27.690,1.577823582,0,7.770423209,0,35806.11015,0
06/10/2016 12:05:28.719,1.199045961,0,1.942353979,0,4972.426185,0
06/10/2016 12:05:29.749,0.883380352,0,2.914005999,0,8951.826428,0
06/10/2016 12:05:30.779,0.820239436,0,3.885212984,0,12929.98881,177041.3853
06/10/2016 12:05:31.808,1.07277396,0,1.942502995,0,4972.807667,0
06/10/2016 12:05:32.838,1.009642757,0,5.827198527,0,24862.71372,0
